Requirement,RECOMMENDED,MUST,MUST,MUST,MUST,MUST,MUST,MUST if capacity reservations are supported,MUST if capacity reservations are supported,MUST,MUST,MUST,RECOMMENDED,MUST,MUST,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST if provider supports commitment discounts,MUST when the provider supports the measurement of usage,MUST when the provider supports the measurement of usage,MUST,MUST when the provider supports negotiated pricing concepts,MUST,MUST,MUST,MUST when the provider publishes unit prices exclusive of discounts,MUST when the provider supports more than one pricing category across all SKUs,MUST,MUST,MUST,MUST,MUST be present in a FOCUS dataset when the provider supports deploying resources or services within a region,MUST be present in a FOCUS dataset when the provider supports deploying resources or services within a region,MUST when the provider supports billing based on provisioned resources,MUST when the provider supports billing based on provisioned resources,MUST when the provider supports billing based on provisioned resources,MUST,MUST,RECOMMENDED,MUST when the provider publishes a SKU list,MUST when the provider includes a SkuId,MUST when the provider includes a SkuPriceId,MUST when the provider publishes a SKU price list,MUST when the provider supports a sub account construct,MUST when the provider supports a sub account construct,MUST when the provider supports setting user or provider-defined tags
Display Name,Availability Zone,Billed Cost,Billing Account ID,Billing Account Name,Billing Currency,Billing Period End,Billing Period Start,Capacity Reservation ID,Capacity Reservation Status,Charge Category,Charge Class,Charge Description,Charge Frequency,Charge Period End,Charge Period Start,,Commitment Discount ID,Commitment Discount Name,Commitment Discount Quantity,Commitment Discount Status,Commitment Discount Type,Commitment Discount Unit,Consumed Quantity,Consumed Unit,Contracted Cost,Contracted Unit Price,Effective Cost,Invoice Issuer,List Cost,List Unit Price,Pricing Category,Pricing Quantity,Pricing Unit,Provider,Publisher,Region ID,Region Name,Resource ID,Resource Name,Resource Type,Service Category,Service Name,Service Subcategory,SKU ID,SKU Meter,SKU Price Details,SKU Price ID,Sub Account ID,Sub Account Name,Tags
Column ID,AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,Tags
,,48,000-00-000,MyBillingAcct,USD,5/1/2025,4/1/2025,,,Usage,,Monthly usage charge,Usage-Based,5/1/2025,4/1/2025,,,,,,,,4,Server Hours,48,12,48,Acme Co,60,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,120,000-00-000,MyBillingAcct,USD,6/1/2025,5/1/2025,,,Usage,,Monthly usage charge,Usage-Based,6/1/2025,5/1/2025,,,,,,,,10,Server Hours,120,12,120,Acme Co,150,15,,10,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,60,000-00-000,MyBillingAcct,USD,7/1/2025,6/1/2025,,,Usage,,Monthly usage charge,Usage-Based,7/1/2025,6/1/2025,,,,,,,,5,Server Hours,60,12,60,Acme Co,75,15,,5,Server Hours,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,972,000-00-000,MyBillingAcct,USD,4/1/2026,3/1/2026,,,Usage,,End of contract unused fee,One-Time,4/1/2026,4/1/2025,,,,,,,,,,972,,972,Acme Co,972,,,,,Acme Co,Acme Co,,,,,,Database,AwesomeDB,No-SQL DB,,,,,,,
,,1200,,,,,,,,,,,,,,,,,,,,,,,1200,,1200,,1257,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario A2,"A minimum amount must be used from the Committed spend each Billing Period (use-it or lose-it). In this case, the contract requires a minimum of a $60s to be spent each month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In the first month, the Customer uses $48 of services (4 server hours). This usage has a List Cost of $60 (before discounts). For this month, Acme charges 12$ (ListCost of $15) for not meeting the monthly minimum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
